

wavelength, Y
1.5, 7.10557e-08
1.50526, 7.08141e-08
1.51053, 7.05621e-08
1.51579, 7.03232e-08
1.52105, 7.00713e-08
1.52632, 6.98424e-08
1.53158, 6.9594e-08
1.53684, 6.93503e-08
1.54211, 6.91208e-08
1.54737, 6.88859e-08
1.55263, 6.86576e-08
1.55789, 6.84169e-08
1.56316, 6.81789e-08
1.56842, 6.79611e-08
1.57368, 6.77313e-08
1.57895, 6.74961e-08
1.58421, 6.72852e-08
1.58947, 6.7063e-08
1.59474, 6.68385e-08
1.6, 6.66138e-08



wavelength, Y
1.5, 1.42116e-07
1.50526, 1.41632e-07
1.51053, 1.41126e-07
1.51579, 1.40652e-07
1.52105, 1.40154e-07
1.52632, 1.39681e-07
1.53158, 1.39194e-07
1.53684, 1.38709e-07
1.54211, 1.38242e-07
1.54737, 1.37773e-07
1.55263, 1.3731e-07
1.55789, 1.36839e-07
1.56316, 1.36375e-07
1.56842, 1.35921e-07
1.57368, 1.35474e-07
1.57895, 1.35006e-07
1.58421, 1.34569e-07
1.58947, 1.34123e-07
1.59474, 1.33683e-07
1.6, 1.33238e-07



